'date','prize','no1','no2','no3','no4','no5'
2011-07-09,0,19,24,26,27,38
2011-07-10,0,6,10,12,13,15
2011-07-11,0,3,9,20,24,32
2011-07-12,0,8,16,19,23,29
2011-07-13,0,2,8,14,15,28
2011-07-14,0,2,11,13,22,29
2011-07-15,0,13,26,32,33,38
2011-07-16,0,3,10,14,34,35
2011-07-17,0,3,9,16,24,39
2011-07-18,0,9,17,20,30,39
2011-07-19,0,17,19,20,27,28
2011-07-20,0,10,27,30,38,39
2011-07-21,0,8,26,29,36,38
2011-07-22,0,7,20,22,26,29
2011-07-23,0,6,10,18,33,36
2011-07-24,0,4,9,24,32,35
2011-07-25,0,3,4,18,36,39
2011-07-26,0,4,15,20,36,39
2011-07-27,0,2,8,13,18,19
2011-07-28,0,4,8,10,20,27
2011-07-29,0,5,6,11,17,33
2011-07-30,0,3,11,23,30,38
2011-07-31,0,7,20,23,27,35
2011-08-01,0,2,4,17,21,37
2011-08-02,0,3,10,12,16,21
2011-08-03,0,11,13,17,29,39
2011-08-04,0,6,16,20,21,28
2011-08-05,0,10,18,24,37,38
2011-08-06,0,5,16,17,32,38
2011-08-07,0,12,21,31,32,34
2011-08-08,0,10,16,22,31,37
2011-08-09,0,2,6,20,23,38
2011-08-10,0,8,18,19,22,28
2011-08-11,0,14,26,29,33,35
2011-08-14,0,22,28,33,34,37
2011-08-15,0,8,16,19,29,32
2011-08-16,0,3,6,7,15,38
2011-08-17,0,11,24,28,29,36
2011-08-18,0,12,32,33,37,38
2011-08-19,0,3,8,19,21,24
2011-08-20,0,23,28,31,33,39
2011-08-21,0,6,13,24,27,34
2011-08-22,0,11,14,20,21,37
2011-08-23,0,3,6,12,19,27
2011-08-24,0,2,4,5,16,26
2011-08-25,0,1,15,16,17,35
2011-08-26,0,7,8,17,29,38
2011-08-28,0,2,4,6,7,27
2011-08-29,0,12,14,25,36,37
2011-08-30,0,12,17,19,32,33
2011-08-31,0,1,4,23,25,34
2011-09-01,0,14,21,24,34,39
2011-09-02,0,2,5,8,11,38
2011-09-03,0,17,20,23,24,36
2011-09-04,0,4,13,28,38,39
2011-09-05,0,1,13,30,35,36
2011-09-06,0,1,4,21,31,38
2011-09-07,0,2,4,10,26,28
2011-09-08,0,2,6,19,25,31
2011-09-09,0,5,12,26,27,32
2011-09-10,0,13,14,18,28,34
2011-09-11,0,7,20,29,33,35
2011-09-12,0,6,8,9,32,34
2011-09-13,0,4,10,30,32,34
2011-09-14,0,6,18,22,35,37
2011-09-15,0,7,21,22,34,38
2011-09-16,0,1,8,25,33,37
2011-09-17,0,2,3,7,27,31
2011-09-18,0,8,27,28,34,37
2011-09-19,0,3,8,26,30,38
2011-09-20,0,12,24,27,32,34
2011-09-21,0,2,18,19,22,33
2011-09-22,0,4,10,14,18,32
2011-09-23,0,4,17,18,24,30
2011-09-24,0,14,17,25,32,34
2011-09-25,0,6,8,14,21,26
2011-09-26,0,3,6,18,21,32
2011-09-27,0,7,15,27,34,37
2011-09-28,0,16,20,26,28,32
2011-09-29,0,2,10,23,28,32
2011-09-30,0,7,17,18,23,24
2011-10-01,0,10,11,12,13,22
2011-10-02,0,7,13,17,23,25
2011-10-03,0,5,15,24,36,37
2011-10-04,0,3,4,23,24,38
2011-10-05,0,5,7,11,25,31
2011-10-06,0,3,15,18,21,30
2011-10-07,0,7,27,29,37,39
2011-10-08,0,4,8,15,22,30
2011-10-09,0,3,8,11,15,39
2011-10-10,0,10,11,14,19,39
2011-10-11,0,1,10,23,27,30
2011-10-12,0,8,9,17,18,31
2011-10-13,0,12,15,24,30,34
2011-10-14,0,9,12,16,17,29
2011-10-16,0,4,14,26,27,38
2011-10-17,0,15,18,20,21,32
2011-10-18,0,22,26,33,34,36
2011-10-19,0,7,8,23,36,39
2011-10-20,0,2,5,7,22,30
2011-10-21,0,1,2,11,15,37
2011-10-22,0,2,12,14,35,38
2011-10-23,0,15,18,24,33,36
2011-10-24,0,1,6,8,24,36
2011-10-25,0,3,5,9,25,30
2011-10-26,0,3,6,9,31,39
2011-10-27,0,3,20,24,26,27
2011-10-28,0,9,11,21,22,29
2011-10-29,0,7,11,18,23,33
2011-10-30,0,21,28,29,31,34
2011-10-31,0,10,12,16,29,36
2011-11-01,0,7,8,14,22,23
2011-11-02,0,9,14,20,23,31
2011-11-03,0,8,12,23,28,36
2011-11-04,0,7,8,9,26,27
2011-11-05,0,5,8,13,35,36
2011-11-06,0,3,24,25,32,39
2011-11-07,0,2,4,18,37,39
2011-11-08,0,13,17,28,31,36
2011-11-09,0,1,6,7,24,36
2011-11-10,0,6,20,21,28,39
2011-11-11,0,8,13,15,25,39
2011-11-12,0,3,6,25,29,39
2011-11-13,0,2,13,20,22,28
2011-11-14,0,8,13,20,21,31
2011-11-15,0,9,19,23,27,39
2011-11-16,0,6,7,28,36,39
2011-11-17,0,3,12,15,17,34
2011-11-18,0,2,5,13,21,31
2011-11-19,0,4,9,12,21,30
2011-11-20,0,23,25,29,32,36
2011-11-21,0,6,7,14,31,32
2011-11-22,0,3,10,24,28,32
2011-11-23,0,7,13,14,18,22
2011-11-24,0,21,23,24,30,33
2011-11-25,0,2,17,20,24,31
2011-11-26,0,2,12,17,23,39
2011-11-27,0,12,23,25,29,35
2011-11-28,0,1,6,9,19,37
2011-11-29,0,1,14,17,23,26
2011-11-30,0,5,8,15,25,27
2011-12-01,0,1,2,10,26,34
2011-12-02,0,2,7,23,28,29
2011-12-03,0,19,21,26,28,31
2011-12-04,0,5,8,9,22,35
2011-12-05,0,6,27,29,33,34
2011-12-06,0,4,5,11,18,31
2011-12-07,0,4,19,26,27,32
2011-12-08,0,1,6,8,14,18
2011-12-09,0,23,26,27,31,39
2011-12-10,0,11,26,29,30,33
2011-12-11,0,9,17,22,28,32
2011-12-12,0,6,17,28,34,35
2011-12-13,0,8,16,20,24,27
2011-12-14,0,2,5,11,24,36
2011-12-15,0,14,16,19,21,24
2011-12-16,0,4,5,8,18,32
2011-12-17,0,2,5,11,13,38
2011-12-18,0,3,4,8,18,36
2011-12-19,0,3,8,19,24,30
2011-12-20,0,1,16,20,22,28
2011-12-21,0,2,16,19,30,33
2011-12-22,0,3,6,16,29,37
2011-12-23,0,13,25,26,29,34
2011-12-24,0,5,7,15,16,26
2011-12-25,0,1,6,7,12,19
2011-12-26,0,19,21,22,31,37
2011-12-27,0,4,14,20,23,37
2011-12-28,0,5,12,14,21,27
2011-12-29,0,6,7,10,11,12
2011-12-30,0,9,18,23,24,34
2011-12-31,0,1,8,15,19,21
2012-01-01,0,7,13,14,19,29
2012-01-02,0,8,9,17,27,30
2012-01-03,0,21,26,29,32,38
2012-01-04,0,1,7,15,24,27
2012-01-05,0,8,14,18,19,22
2012-01-06,0,6,10,12,20,28
2012-01-07,0,2,28,35,37,38
2012-01-08,0,1,2,5,7,34
2012-01-09,0,3,23,24,34,38
2012-01-10,0,7,9,18,23,29
2012-01-11,0,5,12,14,16,27
2012-01-12,0,6,10,17,36,39
2012-01-13,0,2,15,24,27,29
2012-01-14,0,4,13,14,17,20
2012-01-15,0,5,6,7,14,21
2012-01-16,0,3,8,18,25,37
2012-01-17,0,8,13,30,36,37
2012-01-18,0,18,25,26,32,37
2012-01-19,0,11,16,21,23,28
2012-01-20,0,6,9,20,33,37
2012-01-21,0,25,26,28,34,38
2012-01-22,0,2,11,33,35,39
2012-01-23,0,12,20,21,22,37
2012-01-24,0,6,13,25,27,39
2012-01-25,0,6,15,30,37,39
2012-01-26,0,4,13,15,27,36
2012-01-27,0,1,14,17,24,33
2012-01-28,0,3,16,18,20,24
2012-01-29,0,1,6,12,24,33
2012-01-30,0,11,12,13,18,26
2012-01-31,0,7,17,18,19,34
2012-02-01,0,2,3,14,32,39
2012-02-02,0,2,15,22,30,32
2012-02-03,0,29,31,33,35,39
2012-02-04,0,4,8,21,24,27
2012-02-05,0,8,10,12,34,37
2012-02-06,0,11,20,24,33,34
2012-02-07,0,3,14,23,24,35
2012-02-08,0,6,13,15,18,22
2012-02-09,0,1,20,23,33,34
2012-02-10,0,3,10,14,24,27
2012-02-11,0,2,7,20,29,39
